"unitid","institution name","year","F0910_F2_RV.Private gifts - Total","DRVF2010_RV.Tuition and fees as a percent of core revenues (FASB)","DRVF2010_RV.Endowment assets (year end) per FTE enrollment (FASB)"
"100690","Amridge University","2010","923980","88","278"
"100937","Birmingham Southern College","2010","6939781","49","37508"
"101073","Concordia College Alabama","2010","1722826","39","3996"
"101189","Faulkner University","2010","1383007","86","5048"
"101435","Huntingdon College","2010","2357739","57","39070"
"101453","Heritage Christian University","2010","1784453","17","98332"
"101541","Judson College","2010","2060597","28","36235"
"101675","Miles College","2010","2123410","32","7243"
"101693","University of Mobile","2010","3207740","68","7907"
"101912","Oakwood University","2010","853573","46","4538"
"102049","Samford University","2010","0","66","50139"
"102058","Selma University","2010","0","3",
"102234","Spring Hill College","2010","5292998","47","13085"
"102261","Southeastern Bible College","2010","882906","60","8348"
"102270","Stillman College","2010","1442610","60","14432"
"102298","Talladega College","2010","962949","44","7559"
"102377","Tuskegee University","2010","0","28","24251"
"102395","United States Sports Academy","2010","148280","84","2326"
"102580","Alaska Bible College","2010","349790","15","1643"
"102669","Alaska Pacific University","2010","2259936","54","86676"
"103778","Thunderbird School of Global Management","2010","7976376","86","13786"
"103787","American Indian College of the Assemblies of God Inc","2010","640719","38","1490"
"103945","College America-Flagstaff","2010",,,
"104586","Embry-Riddle Aeronautical University-Prescott","2010",,"91","8402"
"104665","Frank Lloyd Wright School of Architecture","2010","43467","88","3541"
"105367","Ottawa University-Phoenix","2010",,"90","1208"
"105589","Prescott College","2010","913978","89","697"
"105899","Arizona Christian University","2010","1606262","53","4964"
"106306","Arkansas Baptist College","2010","1416019","16","60"
"106342","Lyon College","2010","1258900","40","78926"
"106713","Central Baptist College","2010","896290","75","3352"
"106810","Crowley's Ridge College","2010","677509","58","8806"
"107044","Harding University","2010","9395774","69","16698"
"107080","Hendrix College","2010","5721951","31","99509"
"107141","John Brown University","2010","23718754","34","29419"
"107512","Ouachita Baptist University","2010","7840292","36","54201"
"107558","University of the Ozarks","2010","1945990","32","122204"
"107600","Philander Smith College","2010","4114283","33","18166"
"107877","Williams Baptist College","2010","1951269","54","15966"
"108269","Academy of Chinese Culture and Health Sciences","2010","0","53",
"108861","American Baptist Seminary of the West","2010","420524","33","85159"
"108870","American Film Institute Conservatory","2010","10226370","33","19156"
"109086","American Conservatory Theater","2010","7613340","14","223618"
"109651","Art Center College of Design","2010","2183000","82","20973"
"109785","Azusa Pacific University","2010","7399178","87","4173"
"110060","Bethesda University of California","2010","0","72",
"110097","Biola University","2010","11560000","79","11403"
"110307","Phillips Graduate Institute","2010","195945","87","314"
"110316","California Institute of Integral Studies","2010","619999","88","1039"
"110361","California Baptist University","2010","3892160","86","2788"
"110370","California College of the Arts","2010","1473000","84","16297"
"110404","California Institute of Technology","2010","90935000","5","753036"
"110413","California Lutheran University","2010","11454718","71","14832"
"110468","Alliant International University","2010","349522","87","249"
"110778","Sofia University","2010","151578","94","3773"
"110918","California Christian College","2010","536253","31","4070"
"110945","California College San Diego","2010",,,
"111081","California Institute of the Arts","2010","16476223","53","69400"
"111391","California Western School of Law","2010","1569092","87","14946"
"111948","Chapman University","2010","23897922","73",
"111966","Charles R Drew University of Medicine and Science","2010","396400","7","166954"
"112075","Concordia University-Irvine","2010","8089936","75","3988"
"112084","San Diego Christian College","2010","737089","76","1140"
"112127","Church Divinity School of the Pacific","2010","1784680","14","222856"
"112251","Claremont Graduate University","2010","9174073","60","114769"
"112260","Claremont McKenna College","2010","27372000","24","369317"
"112446","Coleman University","2010","0","52",
"112525","Western University of Health Sciences","2010","4636787","89","3653"
"112570","Columbia College-Hollywood","2010","14554","97","497"
"113537","Dell'Arte International School of Physical Theatre","2010","36046","72",
"113698","Dominican University of California","2010","2787428","81","10791"
"113704","Dominican School of Philosophy & Theology","2010","429303","29","13900"
"114549","Fielding Graduate University","2010","175042","98","1049"
"114734","Franciscan School of Theology","2010","630876","24","110082"
"114813","Fresno Pacific University","2010","1567101","85","4003"
"114840","Fuller Theological Seminary in California","2010","16308000","95","57258"
"115083","Golden Gate University-San Francisco","2010","1179031","84","18822"
"115214","Graduate Theological Union","2010","1060277","15","109237"
"115409","Harvey Mudd College","2010","7440051","32","271779"
"115728","Holy Names University","2010","2005262","70","9061"
"115773","Humphreys College-Stockton and Modesto Campuses","2010","22403","95","146"
"116712","John F Kennedy University","2010","236684","90","2628"
"116846","American Jewish University","2010","10225662","17","70510"
"117104","Life Pacific College","2010","2054143","50","7294"
"117140","University of La Verne","2010","2734963","89","5033"
"117168","Laguna College of Art and Design","2010","594628","71","3474"
"117520","Life Chiropractic College West","2010","1919780","75",
"117557","Lincoln University","2010","0","93",
"117575","Southern California Seminary","2010","295609","65","713"
"117627","La Sierra University","2010","3032784","74","9006"
"117636","Loma Linda University","2010","21447365","48","80727"
"117672","Southern California University of Health Sciences","2010","315609","86",
"117751","The Master's College and Seminary","2010","4935042","71","7128"
"117946","Loyola Marymount University","2010","24574743","73","38299"
"118541","Marymount California University","2010","1745482","80","14224"
"118693","Menlo College","2010","30096628","26","10798"
"118888","Mills College","2010","7561049","44","111215"
"119058","Monterey Institute of International Studies","2010",,"46","89280"
"119173","Mount St Mary's College","2010","2696042","67","35644"
"119605","National University","2010","484531","76","15149"
"120184","Notre Dame de Namur University","2010","814930","89","8314"
"120254","Occidental College","2010","9482649","44","150771"
"120403","Otis College of Art and Design","2010","2424928","87","9810"
"120537","Hope International University","2010","2312665","65","4829"
"120698","Palo Alto University","2010","538842","91","1134"
"120740","Pacific Lutheran Theological Seminary","2010","1250969","20","89905"
"120768","Pacific Oaks College","2010","493553","86","34898"
"120795","Pacific School of Religion","2010","676643","22","207407"
"120838","Pacific States University","2010","0","100",
"120865","Pacific Union College","2010","982733","74","21126"
"120883","University of the Pacific","2010","8778713","66","26512"
"121150","Pepperdine University","2010","37522000","60","75299"
"121257","Pitzer College","2010","3041875","71","95115"
"121309","Point Loma Nazarene University","2010","3096899","83","9294"
"121345","Pomona College","2010","23030358","14","951712"
"121628","Pardee RAND Graduate School","2010","179368","58","128125"
"121691","University of Redlands","2010","8424221","73","21340"
"122117","Dongguk University-Los Angeles","2010","266555","83",
"122296","Samuel Merritt University","2010","7449143","64","27147"
"122436","University of San Diego","2010","17964000","76","33829"
"122454","San Francisco Art Institute","2010","593406","28","11950"
"122506","San Francisco Conservatory of Music","2010","3420014","59","82151"
"122603","San Francisco Theological Seminary","2010","1137376","10","311068"
"122612","University of San Francisco","2010","14373000","79","20937"
