"unitid","institution name","year","F0910_F2_RV.Private gifts - Total","DRVF2010_RV.Tuition and fees as a percent of core revenues (FASB)","DRVF2010_RV.Endowment assets (year end) per FTE enrollment (FASB)"
"122649","San Joaquin College of Law","2010","105321","92","2285"
"122728","William Jessup University","2010","705727","71","1971"
"122931","Santa Clara University","2010","25358000","64","70835"
"123095","Saybrook University","2010","105035","94",
"123165","Scripps College","2010","13701790","35","229553"
"123280","Shasta Bible College and Graduate School","2010","49467","36","170"
"123448","Trinity Law School","2010","92778","94","1112"
"123457","Simpson University","2010","1256462","83","3556"
"123554","Saint Mary's College of California","2010","5715761","84","33478"
"123633","South Baylo University","2010","52900","91",
"123651","Vanguard University of Southern California","2010","3139798","87","2082"
"123916","Starr King School for Ministry","2010","693426","39","76126"
"123943","Marshall B Ketchum University","2010","529206","46","10869"
"123952","Southern California Institute of Architecture","2010","703883","77",
"123961","University of Southern California","2010","491308000","38","85637"
"123970","Southwestern Law School","2010","1345320","87","6008"
"124283","Claremont School of Theology","2010","8656179","12","78149"
"124292","Thomas Aquinas College","2010","5476054","50","28153"
"124487","Epic Bible College","2010","79442","91",
"125718","Westminster Theological Seminary in California","2010","3900044","20","3371"
"125727","Westmont College","2010","9332269","63","43229"
"125763","Whittier College","2010","7503855","70","38118"
"125897","Woodbury University","2010","988982","90","8666"
"126012","The Wright Institute","2010","145750","90","12569"
"126049","Thomas Jefferson School of Law","2010","158180","95",
"126076","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","2010","950894","63",
"126669","Colorado Christian University","2010","2578073","88","887"
"126678","Colorado College","2010","8662022","40","188202"
"126872","College America-Denver","2010",,,
"126979","Denver Seminary","2010","1357627","74","8636"
"127060","University of Denver","2010","34071587","69","30010"
"127273","Iliff School of Theology","2010","1701188","33","162206"
"127653","Naropa University","2010","1087173","91","4274"
"127714","Nazarene Bible College","2010","1389102","72","2974"
"127918","Regis University","2010","4494715","85","4809"
"127954","Montessori Education Center of the Rockies","2010","0","93",
"128498","Albertus Magnus College","2010","1511526","79","2037"
"128744","University of Bridgeport","2010","2514000","92","3186"
"128902","Connecticut College","2010","14781000","60","84912"
"129154","Goodwin College","2010","1077000","93","1088"
"129242","Fairfield University","2010","19658000","64","48115"
"129428","Rensselaer Hartford Graduate Center Inc","2010","0","50","14105"
"129491","Hartford Seminary","2010","757960","19","311590"
"129525","University of Hartford","2010","4987000","72","14083"
"129534","Holy Apostles College and Seminary","2010","1203932","61","2290"
"129686","Lyme Academy College of Fine Arts","2010","1183429","42","47535"
"129774","Mitchell College","2010","394945","78","5831"
"129941","University of New Haven","2010","3940028","89","3229"
"130226","Quinnipiac University","2010","2601244","80","28624"
"130253","Sacred Heart University","2010","6075080","80","14843"
"130314","University of Saint Joseph","2010","1900000","54","10679"
"130448","St Vincent's College","2010","304329","65","9234"
"130590","Trinity College","2010","20898906","45","153289"
"130697","Wesleyan University","2010","29005000","41","163180"
"130785","Yale-New Haven Hospital Dietetic Internship","2010","1500","85",
"130794","Yale University","2010","225198000","6","1420691"
"130989","Goldey-Beacom College","2010","239045","42","34852"
"131098","Wesley College","2010","968997","93","2751"
"131113","Wilmington University","2010","168239","97","1909"
"131159","American University","2010","20445000","63","32503"
"131283","Catholic University of America","2010","16830776","55","33481"
"131308","Corcoran College of Art and Design","2010","3690254","52","23404"
"131405","Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies","2010","873008","26","17616"
"131450","Gallaudet University","2010","2835593","10","109375"
"131469","George Washington University","2010","29396000","57","64223"
"131496","Georgetown University","2010","82211000","48","61421"
"131520","Howard University","2010","0","25","34800"
"131876","Trinity Washington University","2010","1574984","84","10715"
"131973","Wesley Theological Seminary","2010","4288884","30","44943"
"132408","The Baptist College of Florida","2010","1200043","46","12239"
"132471","Barry University","2010","4801902","89","2896"
"132602","Bethune-Cookman University","2010","4319595","67","9579"
"132657","Lynn University","2010","5159925","83","8745"
"132842","Carlos Albizu University-Miami","2010","1000","90",
"132879","Johnson University Florida","2010","1680551","57","4499"
"133085","Clearwater Christian College","2010","1316901","80","968"
"133492","Eckerd College","2010","7979808","75","14923"
"133526","Edward Waters College","2010","4246513","32","1970"
"133553","Embry-Riddle Aeronautical University-Daytona Beach","2010","5323000","91","7139"
"133711","Flagler College-St Augustine","2010","2469224","63","12881"
"133809","Florida College","2010","3172989","44","19443"
"133872","Adventist University of Health Sciences","2010","233006","76","983"
"133881","Florida Institute of Technology","2010","3550104","73","6222"
"133979","Florida Memorial University","2010","597684","71","4849"
"134079","Florida Southern College","2010","9824210","65","24325"
"134510","Hobe Sound Bible College","2010","1218674","21","8808"
"134945","Jacksonville University","2010","4535176","62","8226"
"135063","Jones College-Jacksonville","2010","0","31",
"135081","Keiser University-Ft Lauderdale","2010",,,
"135364","Luther Rice University & Seminary","2010","260496","92","658"
"135610","Trinity International University-Florida","2010","25241","98","838"
"135726","University of Miami","2010","96991985","26","39587"
"135939","Remington College-Tampa Campus","2010",,,
"136206","Northwood University-Florida","2010",,"80","6786"
"136215","Nova Southeastern University","2010","0","88","1939"
"136330","Palm Beach Atlantic University","2010","4869701","83","19551"
"136701","Saint Vincent de Paul Regional Seminary","2010","2880826","27","327923"
"136774","Ringling College of Art and Design","2010","9482676","76","17071"
"136950","Rollins College","2010","5550000","57","80219"
"137032","Saint Leo University","2010","4443562","92","976"
"137272","Saint John Vianney College Seminary","2010","0","29","101900"
"137476","St Thomas University","2010","2276616","79","5696"
"137546","Stetson University","2010","10278351","70","31612"
"137564","Southeastern University","2010","1299589","87","1646"
"137777","Talmudic College of Florida","2010","1847132","12",
"137847","The University of Tampa","2010","3187166","90","3662"
"137953","Trinity Baptist College","2010","123280","58",
"137962","Trinity College of Florida","2010","378363","72","14193"
"138275","Warner University","2010","1586393","40","3581"
"138293","Webber International University","2010","653780","85","5030"
"138600","Agnes Scott College","2010","6842672","23","264907"
"138868","Point University","2010","765627","75","3538"
"138947","Clark Atlanta University","2010","9986419","61","11425"
"139144","Berry College","2010","7314573","24","319937"
"139153","Beulah Heights University","2010","314400","57",
"139199","Brenau University","2010","3627312","79","11010"
"139205","Brewton-Parker College","2010","5080741","45","19241"
"139287","Carver Bible College","2010","853053","15",
"139348","Columbia Theological Seminary","2010","8634878","9","524546"
"139393","Covenant College","2010","9014554","59","15805"
"139630","Emmanuel College","2010","2192941","69","3894"
"139658","Emory University","2010","67874000","23","361575"
"140146","Interdenominational Theological Center","2010","3509156","41","47897"
"140234","LaGrange College","2010","3374153","61","47387"
"140252","Life University","2010","3535800","88",
"140447","Mercer University","2010","6169956","59","19497"
"140553","Morehouse College","2010","8098174","41","44274"
"140562","Morehouse School of Medicine","2010","1026770","7","235698"
"140696","Oglethorpe University","2010","3549190","71","15372"
"140720","Paine College","2010","2109864","53","8818"
"140818","Piedmont College","2010","1089747","68","16387"
"140872","Reinhardt University","2010","2295569","71","31929"
"140951","Savannah College of Art and Design","2010","5942149","95","1106"
"140988","Shorter University","2010","5822233","53","15042"
"141060","Spelman College","2010","11851747","38","120106"
"141167","Thomas University","2010","1380170","72","3445"
"141185","Toccoa Falls College","2010","1511699","80","3425"
"141237","Truett-McConnell College","2010","550587","45","16395"
"141325","Wesleyan College","2010","0","26","85983"
"141361","Young Harris College","2010","7951982","24","129777"
"141486","Chaminade University of Honolulu","2010","5121100","62","4302"
"141644","Hawaii Pacific University","2010","1301772","80","11560"
"141936","World Medicine Institute","2010","128000","75",
"142090","Boise Bible College","2010","913516","40","4538"
"142294","The College of Idaho","2010","4685108","38","76482"
"142461","Northwest Nazarene University","2010","4165635","68","12422"
"142522","Brigham Young University-Idaho","2010","5954000","22","3630"
"142832","Adler School of Professional Psychology","2010","183209","95","1683"
"143048","School of the Art Institute of Chicago","2010","10491539","76","47184"
"143084","Augustana College","2010","8779807","65","40"
"143118","Aurora University","2010","8643041","72","8888"
"143233","Bethany Theological Seminary","2010","2011648","2","551100"
"143288","Blackburn College","2010","1048004","70","16018"
"143297","Blessing Rieman College of Nursing","2010","0","81",
"143358","Bradley University","2010","11747041","62","36536"
"143659","Catholic Theological Union at Chicago","2010","1634279","33","142575"
"143853","Midwestern University-Downers Grove","2010","524396","74","900"
"143978","The Chicago School of Professional Psychology at Chicago","2010","1270425","97","1573"
"144014","Chicago Theological Seminary","2010","838003","22","153677"
"144050","University of Chicago","2010","176101925","17","378421"
"144281","Columbia College-Chicago","2010","1569418","90","8727"
"144351","Concordia University-Chicago","2010","2642212","90","3346"
"144740","DePaul University","2010","24141000","82","13044"
"144883","East-West University","2010","0","16",
"144962","Elmhurst College","2010","2792854","86","22044"
"144971","Eureka College","2010","2607655","69","17360"
"145275","Garrett-Evangelical Theological Seminary","2010","3121614","10","209181"
"145372","Greenville College","2010","1937505","81","7367"
"145497","Hebrew Theological College","2010","2537461","21","3287"
"145558","Rosalind Franklin University of Medicine and Science","2010","2304830","75","22562"
"145619","Benedictine University","2010","629102","74","1825"
"145628","Illinois College of Optometry","2010","795018","62","2430"
"145646","Illinois Wesleyan University","2010","6539751","59","80685"
"145691","Illinois College","2010","2168563","29","116181"
"145725","Illinois Institute of Technology","2010","21258000","48","27041"
"145886","Institute for Clinical Social Work","2010","82460","86","2193"
"146241","The John Marshall Law School","2010","921574","92","4976"
"146339","Judson University","2010","3882638","74","6890"
"146427","Knox College","2010","9971969","53","48203"
"146481","Lake Forest College","2010","5717346","53","41537"
"146490","Lake Forest Graduate School of Management","2010","394934","88","0"
"146533","Lakeview College of Nursing","2010","58792","62","49641"
"146612","Lewis University","2010","3916316","83","6937"
"146621","Lexington College","2010","0","50",
"146667","Lincoln Christian University","2010","2233084","77","4088"
"146676","Lincoln College","2010","1183383","71","17596"
"146719","Loyola University Chicago","2010","81615014","58","21992"
"146728","Lutheran School of Theology at Chicago","2010","2780740","14","281485"
"146755","Trinity College of Nursing & Health Sciences","2010","0","83","0"
"146825","MacMurray College","2010","1685297","70","14339"
"146977","McCormick Theological Seminary","2010","1038726","7","481201"
"147013","McKendree University","2010","1149481","84","8177"
"147031","Meadville Lombard Theological School","2010","646222","106","204071"
"147129","Methodist College","2010","0","89","2593"
"147244","Millikin University","2010","5867688","64","37859"
"147341","Monmouth College","2010","6445399","53","49070"
"147369","Moody Bible Institute","2010","38350319","13","10992"
"147536","National Louis University","2010","736600","88","4397"
"147590","National University of Health Sciences","2010","1704348","81","3238"
"147660","North Central College","2010","7750020","66","30608"
"147679","North Park University","2010","13007312","61","21781"
"147697","Northern Baptist Theological Seminary","2010","816765","29","250594"
"147767","Northwestern University","2010","207498000","24","254533"
"147828","Olivet Nazarene University","2010","9124924","76","3560"
"148131","Quincy University","2010","3184618","72","7182"
"148335","Robert Morris University Illinois","2010","279554","91","8040"
"148405","Rockford University","2010","1123575","65","7186"
"148487","Roosevelt University","2010","1758344","79","12926"
"148496","Dominican University","2010","1935889","84","5342"
"148511","Rush University","2010","14277182","12",
"148575","Saint Francis Medical Center College of Nursing","2010","94611","45",
"148584","University of St Francis","2010","1700805","88","2753"
"148593","St John's College of Nursing","2010","3350","30","14962"
"148627","Saint Xavier University","2010","1713298","72","1805"
"148849","Shimer College","2010","816239","59","6771"
"148876","Saint Augustine College","2010","78218","73","507"
"148885","University of Saint Mary of the Lake","2010","3439159","30","354490"
"148982","Spertus College","2010","2164350","11","32141"
"149028","Saint Anthony College of Nursing","2010","0","50","8687"
"149329","Telshe Yeshiva-Chicago","2010","2649182","24",
"149505","Trinity Christian College","2010","5516454","75","5245"
"149514","Trinity International University-Illinois","2010","4219254","65","10925"
"149639","VanderCook College of Music","2010","143637","79",
"149763","Resurrection University","2010","0","95","1093"
"149781","Wheaton College","2010","16867245","40","92413"
"150066","Anderson University","2010","5496000","70","8925"
"150145","Bethel College-Indiana","2010","4185392","79","4004"
"150163","Butler University","2010","6267000","65","29243"
"150172","Calumet College of Saint Joseph","2010","666512","91","2955"
"150215","Christian Theological Seminary","2010","667297","12","532372"
"150288","Concordia Theological Seminary","2010","8068683","17","97634"
"150400","DePauw University","2010","14116385","35","168430"
"150455","Earlham College","2010","12678007","28","228583"
"150534","University of Evansville","2010","7183737","68","23859"
"150604","Franklin College","2010","2324906","53","63265"
"150668","Goshen College","2010","3558122","47","78531"
"150677","Grace College and Theological Seminary","2010","2791609","58","5134"
"150756","Hanover College","2010","2595264","33","129355"
"150774","Holy Cross College","2010","1349281","79","2802"
"150941","Huntington University","2010","3852935","64","14783"
"151263","University of Indianapolis","2010","3953145","74","12862"
"151290","Indiana Institute of Technology","2010","3147190","52","10373"
"151777","Manchester University","2010","3772098","57","28552"
"151786","Marian University","2010","39512542","37","8082"
"151801","Indiana Wesleyan University","2010","4146020","86","4777"
"151810","Martin University","2010","202192","87",
"151865","Anabaptist Mennonite Biblical Seminary","2010","2434885","11","113483"
"151962","Mid-America College of Funeral Service","2010","0","88",
"152080","University of Notre Dame","2010","178064000","23","466966"
"152099","Oakland City University","2010","1669419","70","2017"
"152318","Rose-Hulman Institute of Technology","2010","6553264","57","85868"
"152336","University of Saint Francis-Fort Wayne","2010","1219729","88","6526"
"152363","Saint Josephs College","2010","55837597","11","15513"
"152381","Saint Mary-of-the-Woods College","2010","2423228","77","10004"
"152390","Saint Mary's College","2010","10485468","53","66234"
"152451","Saint Meinrad School of Theology","2010","356687","37","191488"
"152530","Taylor University","2010","12272419","67","25684"
"152567","Trine University","2010","6373022","73","11001"
"152600","Valparaiso University","2010","7053042","75","34405"
"152673","Wabash College","2010","10530480","16","323970"
"152798","Allen College","2010","0","90","5221"
"152822","AIB College of Business","2010","516970","76","5756"
"152992","Briar Cliff University","2010","1665665","69","8005"
"153001","Buena Vista University","2010","2999714","61","35095"
"153108","Central College","2010","6781892","62","39546"
"153126","Clarke University","2010","1065687","73","24369"
"153144","Coe College","2010","2551683","50","55807"
"153162","Cornell College","2010","7859130","53","49524"
"153241","Divine Word College","2010","4918082","13","398460"
"153250","Dordt College","2010","8470646","58","15516"
"153269","Drake University","2010","14932854","63","23468"
"153278","University of Dubuque","2010","20363245","43","36578"
"153302","Emmaus Bible College","2010","1145473","60","4954"
"153320","Faith Baptist Bible College and Theological Seminary","2010","757481","44","7570"
"153366","Graceland University-Lamoni","2010","7995840","54","21160"
"153375","Grand View University","2010","1557084","84","7254"
"153384","Grinnell College","2010","23580000","12","779319"
"153621","Iowa Wesleyan College","2010","3772356","61","13571"
"153825","Loras College","2010","7373727","65","11225"
"153834","Luther College","2010","7463535","66","36753"
"153861","Maharishi University of Management","2010","3525000","64","7133"
"153977","Mercy College of Health Sciences","2010","274874","88","3299"
"154004","Morningside College","2010","2202271","65","19789"
"154013","Mount Mercy University","2010","5725149","65","14676"
"154101","Northwestern College","2010","2750539","63","30220"
"154156","Des Moines University-Osteopathic Medical Center","2010","0","67","45034"
"154174","Palmer College of Chiropractic-Davenport","2010","0","83","1478"
"154235","Saint Ambrose University","2010","4695371","73","28405"
"154262","St Luke's College","2010","0","80","7581"
"154350","Simpson College","2010","5066275","60","33171"
"154493","Upper Iowa University","2010","962665","67","1467"
"154527","Wartburg College","2010","3262376","65","21261"
"154536","Wartburg Theological Seminary","2010","1715936","15","81420"
"154590","William Penn University","2010","4214185","64","4640"
"154688","Baker University","2010","1976495","84","8668"
"154712","Benedictine College","2010","11962020","51","9478"
"154721","Bethany College","2010","2134332","47","37947"
"154749","Bethel College-North Newton","2010","3494116","49","30353"
"154837","Central Baptist Theological Seminary","2010","4631235","5","47971"
"154855","Central Christian College of Kansas","2010","505206","69","20815"
"155007","Donnelly College","2010","1493271","42","12145"
"155070","Barclay College","2010","1016762","49","875"
"155089","Friends University","2010","2529000","75","19071"
"155335","Newman University","2010","991165","80","9241"
"155414","Kansas Wesleyan University","2010","555619","75","21958"
"155496","Manhattan Christian College","2010","1396387","55","7118"
"155511","McPherson College","2010","1653141","49","46537"
"155520","MidAmerica Nazarene University","2010","617998","73","3515"
"155627","Ottawa University-Ottawa","2010","1574559","90","25349"
"155636","Ottawa University-Kansas City","2010",,"90","731"
"155812","University of Saint Mary","2010","3906736","58","11712"
"155900","Southwestern College","2010","4188620","73","10302"
"155937","Sterling College","2010","1346144","62","17212"
"155973","Tabor College","2010","2162950","64","7540"
"156189","Alice Lloyd College","2010","3587073","30","43780"
"156213","Asbury University","2010","2942956","74","18723"
"156222","Asbury Theological Seminary","2010","22987837","24","110656"
"156286","Bellarmine University","2010","7284815","75","11166"
"156295","Berea College","2010","20840426","2","542458"
"156356","Brescia University","2010","1056295","66","14571"
"156365","Campbellsville University","2010","2730069","76","3153"
"156408","Centre College","2010","5858744","54","143790"
"156417","Clear Creek Baptist Bible College","2010","1625506","13","85000"
"156541","University of the Cumberlands","2010","6435179","54","24365"
"156727","Frontier Nursing University","2010","0","81","13374"
"156745","Georgetown College","2010","3177784","63","22290"
"157030","Kentucky Mountain Bible College","2010","463954","42","21561"
"157076","Kentucky Wesleyan College","2010","2406059","30","29493"
"157100","Kentucky Christian University","2010","1545293","36","8785"
"157207","Lexington Theological Seminary","2010","1138940","2","275354"
"157216","Lindsey Wilson College","2010","2824086","77","3942"
"157298","Louisville Presbyterian Theological Seminary","2010","1658865","3","366722"
"157359","Mid-Continent University","2010","259613","93","1878"
"157377","Midway College","2010","4371668","68","8009"
"157535","University of Pikeville","2010","2152209","76","15826"
"157632","Saint Catharine College","2010","1549674","80","914"
"157757","Spalding University","2010","1043571","89","5432"
"157809","Thomas More College","2010","2404574","88","8234"
"157818","Transylvania University","2010","5465712","39","102667"
"157863","Union College","2010","1128843","75","12039"
"158477","Centenary College of Louisiana","2010","6276790","28","119652"
"158802","Dillard University","2010","3454097","32","33082"
"159568","Louisiana College","2010","3443904","43","20001"
"159656","Loyola University New Orleans","2010","3086692","56","56842"
"160029","Notre Dame Seminary Graduate School of Theology","2010","225167","36","25180"
"160065","Our Lady of Holy Cross College","2010","499566","72","19745"
"160074","Our Lady of the Lake College","2010","495625","51","4993"
"160409","Saint Joseph Seminary College","2010","426407","31","18585"
"160755","Tulane University of Louisiana","2010","62930000","38","74132"
"160904","Xavier University of Louisiana","2010","4999876","39","32078"
"160959","College of the Atlantic","2010","6101467","47","82410"
"160977","Bates College","2010","10709719","61","115636"
"161004","Bowdoin College","2010","27546000","32","430832"
"161086","Colby College","2010","28121000","35","251289"
"161165","Husson University","2010","737582","91","2094"
"161457","University of New England","2010","1973412","85","5263"
"161509","Maine College of Art","2010","350192","74","12004"
"161518","Saint Joseph's College of Maine","2010","336762","82","6275"
"161563","Thomas College","2010","380063","81","7922"
"161572","Unity College","2010","721134","83","4272"
"162061","Capitol College","2010","238623","73","5608"
"162210","Washington Adventist University","2010","406143","44","2513"
"162654","Goucher College","2010","9670352","52","82401"
"162760","Hood College","2010","6706409","62","28828"
"162928","Johns Hopkins University","2010","168609000","13","110647"
"163046","Loyola University Maryland","2010","7469391","73","26170"
"163295","Maryland Institute College of Art","2010","4564643","73","28638"
"163462","Mount St Mary's University","2010","3572805","67","18874"
"163532","Ner Israel Rabbinical College","2010","3872439","11","0"
"163578","Notre Dame of Maryland University","2010","2996035","65","14926"
"163921","Sojourner-Douglass College","2010","653078","57",
"163976","St John's College","2010","5231958","43","116996"
"164085","Maryland University of Integrative Health","2010","336746","81","1475"
"164173","Stevenson University","2010","0","71","14480"
"164216","Washington College","2010","5367009","56","100038"
"164270","McDaniel College","2010","6186000","64","28840"
"164368","Hult International Business School","2010",,,
"164447","American International College","2010","0","85","2200"
"164465","Amherst College","2010","131391886","13","789599"
"164474","Andover Newton Theological School","2010","584363","36","191221"
"164492","Anna Maria College","2010","365656","81","381"
"164562","Assumption College","2010","1139290","78","25824"
"164580","Babson College","2010","7464986","75","57875"
"164614","Boston Baptist College","2010","333676","81",
"164632","Bay Path College","2010","1441774","79","12364"
"164720","Becker College","2010","0","96","902"
"164739","Bentley University","2010","4435000","79","36586"
"164748","Berklee College of Music","2010","8362530","74","46182"
"164872","Boston Architectural College","2010","725137","82","6409"
"164915","Boston Graduate School of Psychoanalysis Inc","2010","31595","87",
"164924","Boston College","2010","76867790","51","132982"
"164933","The Boston Conservatory","2010","2391385","74","10158"
"164988","Boston University","2010","94594103","53","32567"
"165015","Brandeis University","2010","34929794","36","98774"
"165167","Cambridge College","2010","585364","92","2570"
"165264","Laboure College","2010","53725","96","5267"
"165334","Clark University","2010","19590000","42","73925"
"165495","Conway School of Landscape Design","2010","81127","77",
"165529","Curry College","2010","867013","89","18611"
"165574","Dean College","2010","1216437","74","28484"
"165644","Eastern Nazarene College","2010","2738266","76","12469"
"165662","Emerson College","2010","2593442","88","25066"
"165671","Emmanuel College","2010","3151225","74","26459"
"165699","Endicott College","2010","1571421","86","9847"
"165705","Episcopal Divinity School","2010","1599703","4","2225697"
"165802","Fisher College","2010","130164","90",
"165884","Benjamin Franklin Institute of Technology","2010","804546","80","3603"
"165936","Gordon College","2010","5988077","74","14319"
"165945","Gordon-Conwell Theological Seminary","2010","5036109","53","35793"
"166018","Hampshire College","2010","5142605","74","25379"
"166027","Harvard University","2010","508685000","11","1103930"
"166045","Hebrew College","2010","1330760","49","34932"
"166054","Hellenic College-Holy Cross Greek Orthodox School of Theology","2010","5863952","16","128540"
"166124","College of the Holy Cross","2010","18817132","55","167842"
