UnitID,Institution Name,Long-term investments (F1213_F2),Property  Plant  and Equipment  net of accumulated depreciation (F1213_F2),Intangible Assets  net of accumulated amortization (F1213_F2),Total assets (F1213_F2),Total liabilities (F1213_F2),Debt related to Property  Plant  and Equipment (F1213_F2),Total unrestricted net assets (F1213_F2),Total restricted net assets (F1213_F2),Permanently restricted net assets included in total restricted net assets (F1213_F2),Temporarily restricted net assets (F1213_F2),Total net assets (F1213_F2),Total revenues and investment return (F1213_F2),Total expenses (F1213_F2),Other specific changes in net assets (F1213_F2),Total change in net assets (F1213_F2),Net assets  beginning of the year (F1213_F2),Adjustments to beginning of year net assets (F1213_F2),Net assets  end of the year (F1213_F2),Investment return - Total (F1213_F2)
194073,New York College of Podiatric Medicine,40061462,7514503,0,56337157,17692441,0,37006547,1638169,189314,1448855,38644716,15710521,15731952,42862,21431,38666147,-42862,38644716,2659687
439783,New York College of Traditional Chinese Medicine,0,134030,0,1088565,156389,0,932176,0,0,0,932176,2101961,2063688,0,38273,893903,0,932176,4078
194091,New York Institute of Technology,62639366,148680689,0,324780385,196182045,420256,122034486,6563854,1972731,4591123,128598340,227840102,224423616,34107316,37523802,91074538,0,128598340,3063506
193821,New York Law School,268680178,178744163,0,464258490,215070360,168700000,207851638,41336492,32307224,9029268,249188130,96671316,79369958,13038000,30339358,218848772,0,249188130,24460502
193830,New York Medical College,79983257,162966323,11934382,300631724,110127409,47499767,147210909,43293406,26739122,16554284,190504315,148497146,142457376,0,6039770,184464545,0,190504315,7309864
194116,New York School of Interior Design,17728450,16964546,0,38299175,4580282,0,31105760,2613133,1643523,969610,33718893,13934907,14291591,0,-356684,34075577,0,33718893,1011030
193894,New York Theological Seminary,3192324,26032,0,4674256,1813096,0,-992775,3853935,2038245,1815690,2861160,5996824,5360748,0,636076,2225084,0,2861160,529047
193900,New York University,3008213000,3878392000,0,8921953000,4420290000,2378570000,2254779000,2246884000,1501063000,745821000,4501663000,4376954000,3953776000,792000,423970000,4077693000,0,4501663000,244277000
218414,Newberry College,20208895,25226858,3325472,53726864,29172943,21138072,-1041589,25595510,21526707,4068803,24553921,22876845,24252005,0,-1375160,25929081,0,24553921,743114
167251,Newbury College,0,14375554,0,22560895,11608920,509014,8934874,2017101,1600000,417101,10951975,20323655,19101268,301963,1524350,9663267,-235642,10951975,5591
155335,Newman University,21633833,33254794,652365,63255048,24908171,17687481,11844580,26502297,19819498,6682799,38346877,25905975,24348839,0,1557136,36789741,0,38346877,2312919
193973,Niagara University,83121990,128517233,0,255015713,68056077,0,148115944,38843692,20743262,18100430,186959636,86384497,75802451,0,10582046,176377590,0,186959636,11640094
167260,Nichols College,10245568,47858988,0,65608866,14311894,10344348,36099791,15197181,5692264,9504917,51296972,35322697,29863452,0,5459245,45837727,0,51296972,994031
461795,North American University,574837,13667348,0,15659415,8898199,8042660,6755206,6010,0,6010,6761216,10538476,7958955,0,2579521,4181695,0,6761216,0
199209,North Carolina Wesleyan College,11479956,27125366,0,46176421,10208644,842562,23779000,12188777,6156969,6031808,35967777,25792362,21220083,0,4572279,31395498,0,35967777,1689900
147660,North Central College,104712748,129526148,0,258589347,56381067,41562498,137594469,64613811,41684356,22929455,202208280,76618364,67130813,2472333,11959884,190248396,0,202208280,7578781
174437,North Central University,5225565,31064913,0,45202793,9478899,5025737,30760344,4963550,2845629,2117921,35723894,27149438,24287438,-3,2861997,32861894,3,35723894,567164
218441,North Greenville University,25001146,48844752,0,102578019,5984831,1668898,73579062,23014126,17267974,5746152,96593188,41032002,31445838,0,9586164,87007024,0,96593188,2045207
147679,North Park University,142658883,88718189,0,251256710,81345047,62891440,98892934,71018729,56314570,14704159,169911663,77795569,55099213,0,22696356,147215307,0,169911663,12317499
439817,Northeastern Seminary,3037564,1304099,0,6238480,1715046,0,1011748,3511686,2718170,793516,4523434,1666189,1516652,289235,438772,4084662,0,4523434,114920
167358,Northeastern University,711242000,1059251000,0,2227497000,1031502000,746445000,826197000,369798000,183789000,186009000,1195995000,1002013000,881890000,27545000,147668000,1048327000,0,1195995000,64055000
482705,Northeastern University Global Network,,,,,,,,,,,,,,,,,,,
147697,Northern Baptist Theological Seminary,17089776,6519784,0,25602652,813425,0,8549272,16239955,14283621,1956334,24789227,4146771,3968511,0,178260,24610967,0,24789227,1631670
239512,Northland College,20548498,33183915,0,58215915,9569056,0,31391281,17255578,13451171,3804407,48646859,16585491,18904921,0,-2319430,50966289,0,48646859,1700606
239503,Northland International University,232206,11684539,0,12857360,847463,51954,11270285,739612,401408,338204,12009897,6565409,9069871,5350951,2846489,13645020,-4481612,12009897,0
217606,Northpoint Bible College,438209,16670611,0,19134253,346836,0,18146555,640862,316081,324781,18787417,5692690,6234164,0,-541474,19328891,0,18787417,30520
443030,NorthShore University HealthSystem School of Nurse Anesthesia,,,,,,,,,,,,,,,,,,,0
209409,Northwest Christian University,11611148,14612482,0,31246192,15399948,0,2521860,13324384,12308998,1015386,15846244,11406082,11158000,0,248082,15598162,0,15846244,1404550
460941,Northwest Institute of Literary Arts,190509,328,0,514755,196633,0,253142,64980,27191,37789,318122,542868,503029,0,39839,278283,0,318122,1076
142461,Northwest Nazarene University,38877892,37801299,0,96979242,24793513,13081254,35848271,36337458,22893428,13444030,72185729,45103522,38116572,0,6986950,65193939,4840,72185729,2202164
236133,Northwest University,11871591,48182245,0,74717105,48542401,31295000,20910888,5263816,4079229,1184587,26174704,29045971,28869127,0,176844,25997860,0,26174704,2053762
154101,Northwestern College,47641189,54191314,0,119810503,13925485,5465000,68854180,37030838,19470221,17560617,105885018,36512541,28562455,133617,8083703,97801315,0,105885018,8702990
174507,Northwestern Health Sciences University,13384916,18013151,0,49036967,28762522,7200000,16306953,3967492,2629991,1337501,20274445,28540005,28669011,0,-129006,20403451,0,20274445,1127123
147767,Northwestern University,7917622000,1683639000,0,10917160000,1764672000,798966000,5744796000,3407692000,1181197000,2226495000,9152488000,2926455000,1899301000,0,1027154000,8125334000,0,9152488000,818824000
136206,Northwood University-Florida,,,,,,,,,,,,,,,,,,,
171492,Northwood University-Michigan,83928027,61461595,0,163338621,17121315,2238751,59326028,86891278,30556969,56334309,146217306,72187886,71161975,-200659,825252,145392054,0,146217306,8390795
227243,Northwood University-Texas,,,,,,,,,,,,,,,,,,,
230995,Norwich University,183572000,118790000,0,364288000,123410000,82682000,96632000,144246000,42691000,101555000,240878000,129493000,98811000,2533000,33215000,207663000,0,240878000,31194000
204468,Notre Dame College,7897384,29863892,0,43892078,29554001,22098360,7711338,6626739,2952083,3674656,14338077,31258004,28810050,833,2448787,11889290,0,14338077,2870839
120184,Notre Dame de Namur University,13852509,27071427,0,59651305,21265663,14970000,24158861,14226781,9172032,5054749,38385642,40256533,35078853,0,5177680,33207962,0,38385642,1876420
163578,Notre Dame of Maryland University,33819886,79842156,0,148331427,44098085,34368592,63554415,40678927,24732343,15946584,104233342,49640473,41024918,0,8615555,95617787,0,104233342,5019357
160029,Notre Dame Seminary Graduate School of Theology,5027981,12618428,0,23670132,3161109,3083414,15690879,4818144,2195328,2622816,20509023,4835018,5115542,0,-280524,20789547,0,20509023,602295
136215,Nova Southeastern University,234435735,783882132,0,1151636273,542226355,356608638,514806648,94603270,22626857,71976413,609409918,617653671,578844692,0,38808979,570600939,0,609409918,8331687
194161,Nyack College,10138768,29462314,0,51662365,26547832,17993359,13417018,11697515,8582196,3115319,25114533,46480249,46167810,0,312439,24802094,0,25114533,944977
221254,O'More College of Design,0,3952727,87840,4508908,2891439,0,1568656,48813,1100,47713,1617469,5389952,5266810,83302,206444,1411025,0,1617469,11
174525,Oak Hills Christian College,618985,2335402,1189,3633079,555962,0,2169343,907774,465215,442559,3077117,3511951,3527115,0,-15164,3092281,0,3077117,45427
