"unitid","institution name","year","F0809_F2_RV.Private gifts - Total","DRVF2009_RV.Tuition and fees as a percent of core revenues (FASB)","DRVF2009_RV.Endowment assets (year end) per FTE enrollment (FASB)"
"122728","William Jessup University","2009","812546","76","2377"
"122931","Santa Clara University","2009","33792000","187","66695"
"123095","Saybrook University","2009",,"86",
"123165","Scripps College","2009",,"51","223899"
"123280","Shasta Bible College and Graduate School","2009",,"43","263"
"123448","Trinity Law School","2009",,"91","1203"
"123457","Simpson University","2009",,"100","3067"
"123554","Saint Mary's College of California","2009","6152539","186","35070"
"123633","South Baylo University","2009","28001","96",
"123651","Vanguard University of Southern California","2009",,"88","2550"
"123916","Starr King School for Ministry","2009","791770","87","74797"
"123943","Marshall B Ketchum University","2009",,"55","7683"
"123952","Southern California Institute of Architecture","2009","602808","85",
"123961","University of Southern California","2009","392898000","94","84972"
"123970","Southwestern Law School","2009","1459747","99","8383"
"124283","Claremont School of Theology","2009","3779077","3632","96732"
"124292","Thomas Aquinas College","2009",,"45","26379"
"124487","Epic Bible College","2009","82335","84",
"125718","Westminster Theological Seminary in California","2009",,"22","12662"
"125727","Westmont College","2009","17638320","88","41300"
"125763","Whittier College","2009",,"118","32414"
"125897","Woodbury University","2009",,"98","7045"
"126012","The Wright Institute","2009","89900","101","11587"
"126049","Thomas Jefferson School of Law","2009",,"104",
"126076","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","2009","807447","67",
"126669","Colorado Christian University","2009",,"104","763"
"126678","Colorado College","2009",,,"165311"
"126872","College America-Denver","2009",,,
"126979","Denver Seminary","2009",,"84","8182"
"127060","University of Denver","2009",,"92","24486"
"127273","Iliff School of Theology","2009","2101753",,"140222"
"127653","Naropa University","2009",,"103","3927"
"127714","Nazarene Bible College","2009",,"72","2432"
"127918","Regis University","2009",,"98","3749"
"127954","Montessori Education Center of the Rockies","2009","0","95",
"128498","Albertus Magnus College","2009",,"94","1344"
"128744","University of Bridgeport","2009",,"87","2172"
"128902","Connecticut College","2009","14367000","196","80353"
"129154","Goodwin College","2009","754161","95","624"
"129242","Fairfield University","2009",,"160","43098"
"129428","Rensselaer Hartford Graduate Center Inc","2009",,"55","15474"
"129491","Hartford Seminary","2009",,,"304274"
"129525","University of Hartford","2009",,"91","11938"
"129534","Holy Apostles College and Seminary","2009",,"69","3102"
"129686","Lyme Academy College of Fine Arts","2009",,"62","41831"
"129774","Mitchell College","2009",,"85","5005"
"129941","University of New Haven","2009",,"93","2730"
"130226","Quinnipiac University","2009","2457205","118","25968"
"130253","Sacred Heart University","2009","9449526","96","12351"
"130314","University of Saint Joseph","2009",,"63","10972"
"130448","St Vincent's College","2009",,"65","11303"
"130590","Trinity College","2009",,"366","138847"
"130697","Wesleyan University","2009","22142000",,"151891"
"130785","Yale-New Haven Hospital Dietetic Internship","2009","1500","79",
"130794","Yale University","2009",,,"1393157"
"130989","Goldey-Beacom College","2009","1760577","82","27312"
"131098","Wesley College","2009","1025781","96","2342"
"131113","Wilmington University","2009",,"104",
"131159","American University","2009","16557000","149","26302"
"131283","Catholic University of America","2009","14449234","110","26232"
"131308","Corcoran College of Art and Design","2009",,"91","31345"
"131405","Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies","2009","625011","31","12048"
"131450","Gallaudet University","2009",,"10","116173"
"131469","George Washington University","2009","59051417","83","61706"
"131496","Georgetown University","2009",,"63","57853"
"131520","Howard University","2009","0","35","33844"
"131876","Trinity Washington University","2009",,"115","12204"
"131973","Wesley Theological Seminary","2009","6230880","192","50836"
"132408","The Baptist College of Florida","2009","1779004","45","12906"
"132471","Barry University","2009","5844563","88","3001"
"132602","Bethune-Cookman University","2009","5351565","86","8646"
"132657","Lynn University","2009",,"92","7825"
"132842","Carlos Albizu University-Miami","2009",,"91",
"132879","Johnson University Florida","2009",,"60","5100"
"133085","Clearwater Christian College","2009",,"77","841"
"133492","Eckerd College","2009","5769086","87","12499"
"133526","Edward Waters College","2009",,"35","2124"
"133553","Embry-Riddle Aeronautical University-Daytona Beach","2009",,"94","5870"
"133711","Flagler College-St Augustine","2009",,"87","13764"
"133809","Florida College","2009","3923152","70","17069"
"133872","Adventist University of Health Sciences","2009","211559","68","942"
"133881","Florida Institute of Technology","2009",,"87","4986"
"133979","Florida Memorial University","2009",,"72","5740"
"134079","Florida Southern College","2009",,"112","24721"
"134510","Hobe Sound Bible College","2009",,"22","8076"
"134945","Jacksonville University","2009","3127301","111","8298"
"135063","Jones College-Jacksonville","2009",,"50",
"135081","Keiser University-Ft Lauderdale","2009",,,
"135364","Luther Rice University & Seminary","2009",,"94","730"
"135610","Trinity International University-Florida","2009",,"101","833"
"135726","University of Miami","2009",,"34","35102"
"135939","Remington College-Tampa Campus","2009",,,
"136206","Northwood University-Florida","2009",,"117","6519"
"136215","Nova Southeastern University","2009",,"86","2051"
"136330","Palm Beach Atlantic University","2009",,"97","18006"
"136701","Saint Vincent de Paul Regional Seminary","2009",,"27","128433"
"136774","Ringling College of Art and Design","2009",,"83","15788"
"136950","Rollins College","2009","8300000",,"85096"
"137032","Saint Leo University","2009",,"99","990"
"137272","Saint John Vianney College Seminary","2009",,"37",
"137476","St Thomas University","2009",,"86","4512"
"137546","Stetson University","2009",,"91","32048"
"137564","Southeastern University","2009","12286335","73","1364"
"137777","Talmudic College of Florida","2009",,"13",
"137847","The University of Tampa","2009","7896206","93","3731"
"137953","Trinity Baptist College","2009",,"76",
"137962","Trinity College of Florida","2009","461416","68","11435"
"138275","Warner University","2009",,"43","3144"
"138293","Webber International University","2009",,"103","5365"
"138600","Agnes Scott College","2009",,,"272269"
"138868","Point University","2009",,"72","5209"
"138947","Clark Atlanta University","2009",,"74","9265"
"139144","Berry College","2009","9076684",,"302074"
"139153","Beulah Heights University","2009",,"59",
"139199","Brenau University","2009",,"124","10426"
"139205","Brewton-Parker College","2009","3605344","75","15151"
"139287","Carver Bible College","2009",,,
"139348","Columbia Theological Seminary","2009",,,"994281"
"139393","Covenant College","2009","5913615","92","14384"
"139630","Emmanuel College","2009",,"102","3724"
"139658","Emory University","2009",,"182","302054"
"140146","Interdenominational Theological Center","2009","2536123","40","27365"
"140234","LaGrange College","2009","0","191","48706"
"140252","Life University","2009",,"93",
"140447","Mercer University","2009","8342478","85","19165"
"140553","Morehouse College","2009",,"93","36928"
"140562","Morehouse School of Medicine","2009",,"6","156316"
"140696","Oglethorpe University","2009",,"75","15806"
"140720","Paine College","2009","2288466","54","9012"
"140818","Piedmont College","2009","1403640","84","15826"
"140872","Reinhardt University","2009","2667928","71","32085"
"140951","Savannah College of Art and Design","2009",,"92","1015"
"140988","Shorter University","2009",,"137","14870"
"141060","Spelman College","2009","11828286",,"113540"
"141167","Thomas University","2009",,"83","4334"
"141185","Toccoa Falls College","2009","1232724","78","3267"
"141237","Truett-McConnell College","2009",,"64","15507"
"141325","Wesleyan College","2009",,"587","84698"
"141361","Young Harris College","2009","2974109",,"131954"
"141486","Chaminade University of Honolulu","2009","7796855","66","3995"
"141644","Hawaii Pacific University","2009",,"91","9807"
"141936","World Medicine Institute","2009",,"50",
"142090","Boise Bible College","2009","965024","41","4738"
"142294","The College of Idaho","2009",,"232","75019"
"142461","Northwest Nazarene University","2009",,"78","11106"
"142522","Brigham Young University-Idaho","2009","4447000","27","3348"
"142832","Adler School of Professional Psychology","2009",,"98","1808"
"143048","School of the Art Institute of Chicago","2009",,"79","45833"
"143084","Augustana College","2009",,"131","51"
"143118","Aurora University","2009","3884338","97","8001"
"143233","Bethany Theological Seminary","2009",,,"315916"
"143288","Blackburn College","2009","2171908","68","20883"
"143297","Blessing Rieman College of Nursing","2009",,"78",
"143358","Bradley University","2009","13034854","176","31846"
"143659","Catholic Theological Union at Chicago","2009","2011991","285","128364"
"143853","Midwestern University-Downers Grove","2009",,"93","1122"
"143978","The Chicago School of Professional Psychology at Chicago","2009",,"100","2164"
"144014","Chicago Theological Seminary","2009",,"33","123696"
"144050","University of Chicago","2009","328803908",,"387760"
"144281","Columbia College-Chicago","2009",,"100","7774"
"144351","Concordia University-Chicago","2009",,"96","3829"
"144740","DePaul University","2009","10643000","115","12473"
"144883","East-West University","2009",,"15","0"
"144962","Elmhurst College","2009","2280559","213","21601"
"144971","Eureka College","2009",,"94","16481"
"145275","Garrett-Evangelical Theological Seminary","2009",,,"189774"
"145372","Greenville College","2009","3310900","89","7127"
"145497","Hebrew Theological College","2009","2809706","22","2522"
"145558","Rosalind Franklin University of Medicine and Science","2009","6304993","69","31703"
"145619","Benedictine University","2009",,"98","1629"
"145628","Illinois College of Optometry","2009","685345","99","1163"
"145646","Illinois Wesleyan University","2009","22780453","80","75088"
"145691","Illinois College","2009",,,"101244"
"145725","Illinois Institute of Technology","2009","18536000","109","29904"
"145886","Institute for Clinical Social Work","2009",,"90","2315"
"146241","The John Marshall Law School","2009",,"98","4822"
"146339","Judson University","2009","1604661","97","6064"
"146427","Knox College","2009",,"122","41107"
"146481","Lake Forest College","2009","8692508","173","38241"
"146490","Lake Forest Graduate School of Management","2009","278964","82","0"
"146533","Lakeview College of Nursing","2009",,"142","27329"
"146612","Lewis University","2009","3909139","93",
"146621","Lexington College","2009",,"53",
"146667","Lincoln Christian University","2009","2574489","77","3659"
"146676","Lincoln College","2009",,"92","15952"
"146719","Loyola University Chicago","2009","25563125","89","21072"
"146728","Lutheran School of Theology at Chicago","2009",,"53","230533"
"146755","Trinity College of Nursing & Health Sciences","2009",,"72","0"
"146825","MacMurray College","2009",,"84","11730"
"146977","McCormick Theological Seminary","2009","882873",,"535180"
"147013","McKendree University","2009",,"106","7489"
"147031","Meadville Lombard Theological School","2009","1593836","530","205958"
"147129","Methodist College","2009",,"90","4557"
"147244","Millikin University","2009","6355427","86","35767"
"147341","Monmouth College","2009",,"144","46184"
"147369","Moody Bible Institute","2009",,"24","10838"
"147536","National Louis University","2009",,"94","4008"
"147590","National University of Health Sciences","2009","340234","86","3006"
"147660","North Central College","2009",,"99","28622"
"147679","North Park University","2009",,"152","18604"
"147697","Northern Baptist Theological Seminary","2009",,"52","204941"
"147767","Northwestern University","2009","199296000","363","245655"
"147828","Olivet Nazarene University","2009",,"89","3319"
"148131","Quincy University","2009",,"85","7312"
"148335","Robert Morris University Illinois","2009",,"107","7173"
"148405","Rockford University","2009",,"74","7014"
"148487","Roosevelt University","2009",,"98","11282"
"148496","Dominican University","2009","4590881","95","4971"
"148511","Rush University","2009",,"14",
"148575","Saint Francis Medical Center College of Nursing","2009","67825","44",
"148584","University of St Francis","2009",,"97","9385"
"148593","St John's College of Nursing","2009","0","20","14584"
"148627","Saint Xavier University","2009","1913236","78","2338"
"148849","Shimer College","2009",,"51","8448"
"148876","Saint Augustine College","2009",,"75","529"
"148885","University of Saint Mary of the Lake","2009",,"137","129952"
"148982","Spertus College","2009",,"21","30608"
"149028","Saint Anthony College of Nursing","2009","0","56","7202"
"149329","Telshe Yeshiva-Chicago","2009","3036655","16",
"149505","Trinity Christian College","2009","11975787","64","4838"
