UnitID,Institution Name,Long-term investments (F1011_F2_RV),Property  Plant  and Equipment  net of accumulated depreciation (F1011_F2_RV),Intangible Assets  net of accumulated amortization (F1011_F2_RV),Total assets (F1011_F2_RV),Total liabilities (F1011_F2_RV),Debt related to Property  Plant  and Equipment (F1011_F2_RV),Total unrestricted net assets (F1011_F2_RV),Total restricted net assets (F1011_F2_RV),Permanently restricted net assets included in total restricted net assets (F1011_F2_RV),Temporarily restricted net assets (F1011_F2_RV),Total net assets (F1011_F2_RV),Total revenues and investment return (F1011_F2_RV),Total expenses (F1011_F2_RV),Other specific changes in net assets (F1011_F2_RV),Total change in net assets (F1011_F2_RV),Net assets  beginning of the year (F1011_F2_RV),Adjustments to beginning of year net assets (F1011_F2_RV),Net assets  end of the year (F1011_F2_RV),Investment return - Total (F1011_F2_RV)
177834,A T Still University of Health Sciences,95153584,56562287,0,198645821,49000289,14629061,96713692,52931840,37731926,15199914,149645532,122651408,101442582,12,21208838,128436694,0,149645532,14576134
222178,Abilene Christian University,335607342,141972112,0,498097493,121592504,61896117,182906704,193598285,100061039,93537246,376504989,147573999,110349570,0,37224429,339280560,0,376504989,48751016
451079,Academy for Five Element Acupuncture,0,904930,0,1948426,1341201,707794,607225,0,0,0,607225,1277175,1063787,0,213388,393837,0,607225,0
457271,Academy for Jewish Religion-California,0,12196,0,435497,26297,0,290800,118400,0,118400,409200,1231431,1202600,0,28831,380369,0,409200,1619
108269,Academy of Chinese Culture and Health Sciences,0,0,0,1197039,333279,0,655126,208634,0,208634,863760,1377544,1589829,0,-212285,847877,228168,863760,4589
210508,Academy of Vocal Arts,,,,,,,,,,,,,,,,,,,2480997
384306,Acupuncture and Integrative Medicine College-Berkeley,1206729,425767,0,1629496,1851993,0,-222497,0,0,0,-222497,2765856,2260849,0,505007,-727504,0,-222497,0
188429,Adelphi University,141221685,199469764,0,372945895,140689950,93958327,199797319,32458626,19853227,12605399,232255945,190466149,168226590,-1760000,20479559,211776386,0,232255945,12972244
374024,Adler Graduate School,0,4589331,0,6310606,4425184,3814019,1562325,323097,0,323097,1885422,3101315,2609405,0,491910,1393512,0,1885422,1319
142832,Adler School of Professional Psychology,1239597,9533314,0,24985257,19173989,5469494,5811268,0,0,0,5811268,26064125,24930226,0,1133899,4677369,0,5811268,151851
168528,Adrian College,4118085,53517305,43066456,100701846,37645570,28367856,14037069,49019207,41285613,7733594,63056276,39231853,38902579,2707385,3036659,60019617,0,63056276,3737902
133872,Adventist University of Health Sciences,0,499961,0,16733649,3701547,0,8872180,4159922,0,4159922,13032102,29530531,29217352,0,313179,12312410,406513,13032102,364249
138600,Agnes Scott College,264774422,112137222,0,396387521,89473240,0,65043323,241870958,72834712,169036246,306914281,70634501,49204332,90536,21520705,285393576,0,306914281,38415063
152822,AIB College of Business,6455797,8643028,0,18632906,2410616,0,15601330,620960,75370,545590,16222290,11920399,10563815,0,1356584,14853109,12597,16222290,826864
102580,Alaska Bible College,65902,3216283,0,3580974,382608,309189,2935687,262679,48433,214246,3198366,2861819,1464501,0,1397318,2494944,-693896,3198366,5607
102669,Alaska Pacific University,51789416,18805040,0,75003753,32283897,5311962,23175147,19544709,12271572,7273137,42719856,16438799,16854529,-1941,-417671,43137527,0,42719856,3407921
188526,Albany College of Pharmacy and Health Sciences,16530938,55756326,0,105523944,44555631,27215504,52401128,8567185,6950970,1616215,60968313,49376624,41996400,116461,7496685,53471628,0,60968313,1878685
188535,Albany Law School,57075553,24010334,0,88057632,23754098,17573531,40888375,23415159,18903516,4511643,64303534,36603847,26103321,0,10500526,53803008,0,64303534,7239744
188580,Albany Medical College,88947047,43547047,0,207593863,102536679,0,11255900,93801284,52832835,40968449,105057184,239027918,233018098,14655320,20665140,84392044,0,105057184,13870598
128498,Albertus Magnus College,20071190,19485634,0,46888133,7352186,0,34342001,5193946,2943118,2250828,39535947,29947148,26694350,0,3252798,36283149,0,39535947,3294634
168546,Albion College,190001534,96526102,0,305895482,79251442,63110098,82636916,144007124,69671579,74335545,226644040,78887838,46864363,0,32023475,194620565,0,226644040,35949521
210571,Albright College,53310925,78032908,0,156261971,64197552,41985702,34052300,58012119,32799880,25212239,92064419,69709599,50640091,-643808,18425700,73638719,0,92064419,10864616
237118,Alderson Broaddus University,14882524,13675433,0,40610194,14950488,0,-1010862,26670568,19716276,6954292,25659706,16657236,14971930,0,1685306,23974400,0,25659706,3154680
188641,Alfred University,96137288,117888041,0,237149171,51892574,19869782,98558043,86698554,55528769,31169785,185256597,84998276,66693334,0,18304942,166951655,0,185256597,14309549
156189,Alice Lloyd College,32093629,20613962,0,58925766,1162731,0,36461974,21301061,19812671,1488390,57763035,14724070,11815112,-229031,2679927,55083108,0,57763035,3419678
210669,Allegheny College,178452575,127558800,0,330646067,76315108,57584448,100642754,153688205,76414186,77274019,254330959,98449014,73198142,-1831972,23418900,230912059,0,254330959,29760567
200873,Allegheny Wesleyan College,114932,924028,0,1180212,254003,181436,799142,127067,102707,24360,926209,723002,759707,0,-36705,962914,0,926209,9083
152798,Allen College,4100224,0,0,6882814,35750,0,3015535,3831529,1765813,2065716,6847064,6860807,5915365,679293,1624735,5222329,0,6847064,0
217624,Allen University,1815520,37953866,129661,43626470,33159932,26254371,8651018,1815520,522871,1292649,10466538,23223787,23203713,0,20074,10457980,-11516,10466538,1050326
110468,Alliant International University,13094107,60498534,0,101081505,45447595,17000000,45233285,10400625,1316593,9084032,55633910,88325316,79654878,0,8670438,46963472,0,55633910,501773
168591,Alma College,107642306,52001295,0,174329246,26677235,15933631,38676350,108975661,48681378,60294283,147652011,52046747,39776516,0,12270231,138315445,-2933665,147652011,18256093
210775,Alvernia University,18194330,76292191,0,101600962,54553763,48101657,36846358,10200841,8743713,1457128,47047199,53326409,46032895,0,7293514,39753685,0,47047199,2754319
238193,Alverno College,33413565,32225133,0,73330358,17544166,0,18647272,37138920,14895462,22243458,55786192,47720179,43356452,0,4363727,51422465,0,55786192,3697021
219505,American Baptist College,588152,632289,0,4074151,390443,0,866676,2817032,588152,2228880,3683708,2206180,2003334,0,202846,3480862,0,3683708,217502
108861,American Baptist Seminary of the West,5243746,10340883,0,17477927,4311545,0,6715889,6450493,4869049,1581444,13166382,3103375,2293206,0,810169,12356213,0,13166382,1085859
430591,American College of Traditional Chinese Medicine,0,432995,0,3058499,1591184,0,943317,523998,523998,0,1467315,4872708,4688387,0,184321,1283961,-967,1467315,12567
109086,American Conservatory Theater,19508461,16169828,0,44088359,6961071,164605,7544030,29583258,26327474,3255784,37127288,22243587,21192133,0,1051454,36075834,0,37127288,1588362
108870,American Film Institute Conservatory,16853000,6307532,0,41110861,7747893,4916838,16509968,16853000,8826902,8026098,33362968,26777273,26548494,2571545,2800324,30562644,0,33362968,132577
103787,American Indian College of the Assemblies of God Inc,290542,1619955,0,2325284,1804929,1689096,274533,245822,118329,127493,520355,2403723,2418450,0,-14727,535082,0,520355,334568
164447,American International College,9048349,36405064,0,53081233,27422082,19079688,13028283,12630868,9053397,3577471,25659151,48706604,44539424,0,4167180,21491971,0,25659151,1260468
116846,American Jewish University,89212762,39250662,0,142852955,44653793,26196151,27557075,70642087,21087711,49554376,98199162,23113637,23015349,5971400,6069688,92129474,0,98199162,3072416
188854,American Musical and Dramatic Academy,0,44116891,0,64665891,48100046,0,16565845,0,0,0,16565845,43334161,35982127,-3842638,3509396,13056449,0,16565845,10225
131159,American University,641481000,434090000,0,1161427000,368130000,255875000,620642000,172655000,84725000,87930000,793297000,526613000,429655000,0,96958000,696339000,0,793297000,65936000
164465,Amherst College,1992886104,341752250,0,2468872775,431660158,215155000,733555760,1303656857,415054865,888601992,2037212617,406872368,140036273,5623726,272459821,1764752796,0,2037212617,313659992
100690,Amridge University,1915153,3995175,0,6515515,366972,0,5555840,592703,174805,417898,6148543,8673174,8533091,0,140083,6008460,0,6148543,46128
151865,Anabaptist Mennonite Biblical Seminary,17461908,8180902,0,27838229,586930,0,9473067,17778232,11592741,6185491,27251299,8873170,4070871,0,4802299,22449000,0,27251299,5175960
150066,Anderson University,30708000,73217000,1016000,145997000,71991000,46840000,34740000,39266000,34980000,4286000,74006000,53286000,51938000,0,1348000,72910000,-252000,74006000,4712000
217633,Anderson University,19540163,40510770,0,90610685,24782042,15277126,36981022,28847621,16983829,11863792,65828643,39350014,31317443,1000000,9032571,57796072,-1000000,65828643,3600004
164474,Andover Newton Theological School,16476029,10100279,0,29771773,3567653,0,7249691,18954429,15179668,3774761,26204120,10338383,7655847,0,2682536,23521584,0,26204120,4287900
168740,Andrews University,48113357,96233443,0,168983115,47617111,23317668,79602255,41763749,22360244,19403505,121366004,97345449,90040288,0,7305161,114060843,0,121366004,6211882
164492,Anna Maria College,4924767,32517590,271895,50100051,33397446,28447785,15146156,1556449,592477,963972,16702605,25196844,23782907,0,1413937,15288668,0,16702605,354872
245838,Antioch University-Los Angeles,,,,,,,,,,,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,,,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,,,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,,,,,,,,,,,
245883,Antioch University-Seattle,,,,,,,,,,,,,,,,,,,
441511,Apex School of Theology,1409,0,0,2330099,26100,0,2303999,0,0,0,2303999,3047039,1807937,0,1239102,1064896,1,2303999,0
237136,Appalachian Bible College,250635,13846687,0,15646849,8424551,0,5354841,1867457,1288848,578609,7222298,5773568,6273766,0,-500198,7722496,0,7222298,39534
449922,Appalachian College of Pharmacy,7140478,11493063,0,18633541,400651,0,17200621,1032269,0,1032269,18232890,7922074,6515049,0,1407025,16825865,0,18232890,0
432348,Appalachian School of Law,4057837,14489447,0,26970618,2332936,1917788,19993542,4644140,3736413,907727,24637682,9261937,6975813,0,2286124,22351558,0,24637682,563281
168786,Aquinas College,30422428,39966684,173855,77117546,26955426,19381500,19166455,30995665,17372378,13623287,50162120,40308072,34988215,0,5319857,44842263,0,50162120,5340918
