UnitID,Institution Name,Long-term investments (F1112_F2_RV),Property  Plant  and Equipment  net of accumulated depreciation (F1112_F2_RV),Intangible Assets  net of accumulated amortization (F1112_F2_RV),Total assets (F1112_F2_RV),Total liabilities (F1112_F2_RV),Debt related to Property  Plant  and Equipment (F1112_F2_RV),Total unrestricted net assets (F1112_F2_RV),Total restricted net assets (F1112_F2_RV),Permanently restricted net assets included in total restricted net assets (F1112_F2_RV),Temporarily restricted net assets (F1112_F2_RV),Total net assets (F1112_F2_RV),Total revenues and investment return (F1112_F2_RV),Total expenses (F1112_F2_RV),Other specific changes in net assets (F1112_F2_RV),Total change in net assets (F1112_F2_RV),Net assets  beginning of the year (F1112_F2_RV),Adjustments to beginning of year net assets (F1112_F2_RV),Net assets  end of the year (F1112_F2_RV),Investment return - Total (F1112_F2_RV)
166045,Hebrew College,2228227,18529454,0,23779202,10645913,7400000,5531309,7601980,741685,6860295,13133289,8312649,11080216,20559550,17791983,-4658694,0,13133289,180000
145497,Hebrew Theological College,1134491,3979331,0,7870398,4915327,0,2058591,896480,130500,765980,2955071,11181741,8264708,0,2917033,303548,-265510,2955071,194096
203067,Hebrew Union College-Jewish Institute of Religion,151201372,43930313,0,242198304,62058528,11500000,29362510,150777266,108976880,41800386,180139776,40372023,53063929,0,-12691906,192831682,0,180139776,1427964
203085,Heidelberg University,34950115,58815441,0,108972439,28733016,20435965,36170748,44068675,30996567,13072108,80239423,28560585,27628873,0,931712,79307711,0,80239423,-422190
191597,Helene Fuld College of Nursing,1212223,177311,0,4927510,688626,0,3509421,729463,494620,234843,4238884,5315468,5077629,-20000,217839,4021045,0,4238884,24024
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,22657449,12325381,0,38317682,7813645,0,4475747,26028290,18546330,7481960,30504037,9181107,10512299,-2065910,-3397102,33901139,0,30504037,1594584
107080,Hendrix College,158923136,112188529,0,284423024,88535794,63645225,79635191,116252039,62618300,53633739,195887230,30567914,54014525,3784071,-19662540,215549770,0,195887230,-8873423
198677,Heritage Bible College,0,695180,330180,1025360,286883,276696,604679,133798,61151,72647,738477,843012,805734,0,37278,701199,0,738477,0
101453,Heritage Christian University,8123332,3228793,0,11946175,2899603,1867367,2657145,6389427,4488672,1900755,9046572,2348291,2783276,0,-434985,9481557,0,9046572,-117041
235422,Heritage University,12526478,17862261,0,39279408,5255684,2086992,28352978,5670746,3026745,2644001,34023724,24361126,21950374,0,2410752,31612972,0,34023724,38632
198695,High Point University,37999490,367589082,0,439206046,198503078,164977391,197213616,43489352,36376318,7113034,240702968,145021030,112522564,0,32498466,208204502,0,240702968,-1665483
191621,Hilbert College,6383622,27331555,0,39510490,14615758,13312549,18476869,6417863,3674024,2743839,24894732,17139911,15600939,0,1538972,23355760,0,24894732,-314944
207157,Hillsdale Free Will Baptist College,511130,6033331,0,6822993,4697755,4262874,1346539,778699,652779,125920,2125238,3862467,4073239,0,-210772,2336010,0,2125238,105105
203128,Hiram College,52129609,65012798,0,126946758,45661746,31618808,18178140,63106872,43614911,19491961,81285012,31012312,36495240,0,-5482928,86767940,0,81285012,-906272
220312,Hiwassee College,3966202,5020049,0,10681552,3324375,0,-2672539,10029716,9584528,445188,7357177,4646695,5217430,0,-570735,7927912,0,7357177,170351
191630,Hobart William Smith Colleges,164296427,138619343,0,345447995,86192272,59979028,95484821,163770902,118017788,45753114,259255723,72260202,98510298,-3135076,-29385172,288640895,0,259255723,-15262525
